"";"category";"commenting_person_id";"positive_reaction";"comment_id";"time";"date";"article_id";"reacting_person_id"
"129439";"zahranicni";58567;1;70980611;"17:18";"3.3.2015";"A150303_112658_zahranicni_ert";5999
"129440";"zahranicni";58567;1;70980611;"17:18";"3.3.2015";"A150303_112658_zahranicni_ert";6554
"129441";"zahranicni";74009;1;70980618;"17:19";"3.3.2015";"A150303_112658_zahranicni_ert";2459
"129442";"zahranicni";74009;1;70980618;"17:19";"3.3.2015";"A150303_112658_zahranicni_ert";67452
"129443";"zahranicni";74009;1;70980618;"17:19";"3.3.2015";"A150303_112658_zahranicni_ert";92401
"129444";"zahranicni";74009;1;70980618;"17:19";"3.3.2015";"A150303_112658_zahranicni_ert";26927
"129445";"zahranicni";74009;1;70980618;"17:19";"3.3.2015";"A150303_112658_zahranicni_ert";5999
"129446";"zahranicni";39265;0;70980630;"17:20";"3.3.2015";"A150303_112658_zahranicni_ert";77171
"129447";"zahranicni";11630;1;70980633;"17:20";"3.3.2015";"A150303_112658_zahranicni_ert";32426
"129448";"zahranicni";11630;1;70980633;"17:20";"3.3.2015";"A150303_112658_zahranicni_ert";5999
"129449";"zahranicni";11630;1;70980633;"17:20";"3.3.2015";"A150303_112658_zahranicni_ert";6554
"129450";"zahranicni";21510;1;70980634;"17:20";"3.3.2015";"A150303_112658_zahranicni_ert";5999
"129451";"zahranicni";45105;1;70980640;"17:20";"3.3.2015";"A150303_112658_zahranicni_ert";35572
"129452";"zahranicni";45105;1;70980640;"17:20";"3.3.2015";"A150303_112658_zahranicni_ert";39635
"129453";"zahranicni";45105;1;70980640;"17:20";"3.3.2015";"A150303_112658_zahranicni_ert";32426
"129454";"zahranicni";45105;1;70980640;"17:20";"3.3.2015";"A150303_112658_zahranicni_ert";53705
"129455";"zahranicni";45105;1;70980640;"17:20";"3.3.2015";"A150303_112658_zahranicni_ert";10677
"129456";"zahranicni";45105;1;70980640;"17:20";"3.3.2015";"A150303_112658_zahranicni_ert";53557
"129457";"zahranicni";45105;1;70980640;"17:20";"3.3.2015";"A150303_112658_zahranicni_ert";5284
"129458";"zahranicni";45105;0;70980640;"17:20";"3.3.2015";"A150303_112658_zahranicni_ert";2459
"129459";"zahranicni";45105;0;70980640;"17:20";"3.3.2015";"A150303_112658_zahranicni_ert";79237
"129460";"zahranicni";53705;1;70980653;"17:21";"3.3.2015";"A150303_112658_zahranicni_ert";32426
"129461";"zahranicni";53705;1;70980653;"17:21";"3.3.2015";"A150303_112658_zahranicni_ert";27320
"129462";"zahranicni";53705;0;70980653;"17:21";"3.3.2015";"A150303_112658_zahranicni_ert";34097
"129463";"zahranicni";545;1;70980660;"17:21";"3.3.2015";"A150303_112658_zahranicni_ert";39392
