"";"date";"tag";"time";"article_name";"main";"article_id"
"2842";"2015-05-27";"Jiøí Pospíšil";"07:18";"PRO A PROTI: Mají existovat kvóty pro migranty?";0;"A150525_173137_domaci_fer"
"2843";"2015-05-27";"Nezamìstnanost";"07:18";"PRO A PROTI: Mají existovat kvóty pro migranty?";0;"A150525_173137_domaci_fer"
"3239";"2015-05-26";"Pøíliv uprchlíkù do Evropy";"17:51";"Hlídaèi na vídeòském letišti pašovali uprchlíky, kasírovali statisíce";1;"A150526_171940_zahranicni_im"
"3482";"2015-05-31";"Pøíliv uprchlíkù do Evropy";"15:13";"Evropa èelí masivní uprchlické vlnì, míøilo k ní pìt tisíc bìžencù";1;"A150531_150959_zahranicni_aba"
"3483";"2015-05-31";"Cestování";"15:13";"Evropa èelí masivní uprchlické vlnì, míøilo k ní pìt tisíc bìžencù";0;"A150531_150959_zahranicni_aba"
"3484";"2015-05-31";"Evropa";"15:13";"Evropa èelí masivní uprchlické vlnì, míøilo k ní pìt tisíc bìžencù";0;"A150531_150959_zahranicni_aba"
"3485";"2015-05-31";"chudoba";"15:13";"Evropa èelí masivní uprchlické vlnì, míøilo k ní pìt tisíc bìžencù";0;"A150531_150959_zahranicni_aba"
"3486";"2015-05-31";"Svìt";"15:13";"Evropa èelí masivní uprchlické vlnì, míøilo k ní pìt tisíc bìžencù";0;"A150531_150959_zahranicni_aba"
"3609";"2015-05-31";"Pøíliv uprchlíkù do Evropy";"11:16";"Uprchlické kvóty neprojdou, protože nezohledòují státy, míní expertka";1;"A150531_105735_zahranicni_vez"
"3610";"2015-05-31";"Evropská komise";"11:16";"Uprchlické kvóty neprojdou, protože nezohledòují státy, míní expertka";0;"A150531_105735_zahranicni_vez"
